Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
0, 0, 0, 0, 0.25, 1
0.006, 8.62065e-07, 0.0137914, 0.0485027, 0.249269, 0.997922
0.016, 6.26424e-06, 0.0274329, 0.106397, 0.246609, 0.987569
0.026, 1.23011e-05, 0.0375328, 0.150073, 0.243786, 0.976256
0.036, 1.76682e-05, 0.0456585, 0.186081, 0.241097, 0.965431
0.046, 2.25136e-05, 0.0524897, 0.217117, 0.238581, 0.955299
0.056, 2.699e-05, 0.0583918, 0.244591, 0.236234, 0.945845
0.066, 3.11673e-05, 0.0635871, 0.269345, 0.234039, 0.937009
0.076, 3.50838e-05, 0.0682227, 0.291931, 0.231982, 0.928729
0.086, 3.87677e-05, 0.0724018, 0.312732, 0.230048, 0.920945
0.096, 4.22419e-05, 0.0762001, 0.332026, 0.228225, 0.91361
0.106, 4.55254e-05, 0.0796751, 0.350027, 0.226503, 0.906682
0.116, 4.86343e-05, 0.0828719, 0.366898, 0.224872, 0.900126
0.126, 5.15819e-05, 0.0858265, 0.382771, 0.223327, 0.893913
0.136, 5.43795e-05, 0.0885684, 0.397753, 0.221862, 0.888019
0.146, 5.70363e-05, 0.0911221, 0.411932, 0.22047, 0.882422
0.156, 5.95603e-05, 0.0935082, 0.425383, 0.219148, 0.877107
0.166, 6.19576e-05, 0.0957445, 0.438169, 0.217892, 0.872058
0.176, 6.42331e-05, 0.0978465, 0.450344, 0.2167, 0.867266
0.186, 6.63905e-05, 0.0998277, 0.461955, 0.21557, 0.862723
0.196, 6.84318e-05, 0.1017, 0.473043, 0.214501, 0.858422
0.206, 7.03553e-05, 0.103478, 0.483645, 0.213497, 0.854363
0.216, 7.17452e-05, 0.105275, 0.493708, 0.212815, 0.851453
0.226, 7.21901e-05, 0.107146, 0.503154, 0.212564, 0.850284
0.236, 7.186e-05, 0.109089, 0.512042, 0.212689, 0.850644
0.246, 7.08907e-05, 0.111099, 0.52042, 0.213148, 0.852353
0.256, 6.93643e-05, 0.113175, 0.528331, 0.213902, 0.855256
0.266, 6.73425e-05, 0.115312, 0.535811, 0.214919, 0.859223
0.276, 6.48776e-05, 0.117506, 0.542895, 0.21617, 0.86414
0.286, 6.20146e-05, 0.119755, 0.549611, 0.217632, 0.869909
0.296, 5.87929e-05, 0.122055, 0.555986, 0.219284, 0.876445
0.306, 5.52466e-05, 0.124346, 0.561839, 0.221108, 0.883674
0.316, 5.14058e-05, 0.126629, 0.56711, 0.223087, 0.891531
