Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
0, 0, 0, 0, 0.05, 1
0.006, 3.6951e-07, 0.00533248, 0.0961307, 0.0496921, 0.995546
0.016, 2.59892e-06, 0.00943942, 0.1869, 0.0485865, 0.974132
0.026, 5.01092e-06, 0.0122295, 0.251893, 0.0474883, 0.951804
0.036, 6.8767e-06, 0.0143359, 0.303332, 0.0465512, 0.932775
0.046, 8.4117e-06, 0.0160233, 0.346371, 0.0457389, 0.916307
0.056, 9.7486e-06, 0.0174223, 0.383494, 0.0450258, 0.901865
0.066, 1.09369e-05, 0.0186092, 0.416132, 0.0443935, 0.88907
0.076, 1.20011e-05, 0.0196329, 0.445207, 0.0438288, 0.877651
0.086, 1.2958e-05, 0.0205272, 0.471355, 0.043322, 0.867407
0.096, 1.35158e-05, 0.0214071, 0.494801, 0.0430742, 0.861556
0.106, 1.31373e-05, 0.0223769, 0.515394, 0.0432559, 0.864428
0.116, 1.20521e-05, 0.0234301, 0.533581, 0.0437715, 0.874142
0.126, 1.04644e-05, 0.0245593, 0.549734, 0.0445521, 0.889273
0.136, 8.48358e-06, 0.0257572, 0.564156, 0.0455468, 0.908776
0.146, 6.17936e-06, 0.0270171, 0.577088, 0.0467174, 0.931867
0.156, 3.60359e-06, 0.0283328, 0.588734, 0.0480351, 0.957948
0.166, 7.9661e-07, 0.0296992, 0.599262, 0.0494773, 0.986561
0.176, -2.20969e-06, 0.0311117, 0.60881, 0.0510265, 1.01734
0.186, -5.3898e-06, 0.0325663, 0.617499, 0.0526686, 1.05001
0.196, -8.72312e-06, 0.0340596, 0.625429, 0.0543923, 1.08433
0.206, -1.21928e-05, 0.0355886, 0.632685, 0.0561886, 1.12012
0.216, -1.5785e-05, 0.0371507, 0.639343, 0.0580499, 1.15722
0.226, -1.94882e-05, 0.0387435, 0.645464, 0.0599699, 1.19551
0.236, -2.32927e-05, 0.0403652, 0.651106, 0.0619436, 1.23488
0.246, -2.71903e-05, 0.0420139, 0.656314, 0.0639663, 1.27524
0.256, -3.11742e-05, 0.0436881, 0.661132, 0.0660346, 1.31652
0.266, -3.52385e-05, 0.0453863, 0.665596, 0.0681452, 1.35865
0.276, -3.9378e-05, 0.0471073, 0.669737, 0.0702953, 1.40157
0.286, -4.35884e-05, 0.04885, 0.673585, 0.0724827, 1.44525
0.296, -4.78658e-05, 0.0506134, 0.677164, 0.0747053, 1.48963
0.306, -5.22071e-05, 0.0523967, 0.680497, 0.0769613, 1.53469
0.316, -5.66093e-05, 0.0541989, 0.683605, 0.0792493, 1.58038
0.326, -6.107e-05, 0.0560194, 0.686503, 0.0815679, 1.62669
0.336, -6.55868e-05, 0.0578575, 0.689209, 0.0839159, 1.6736
0.346, -7.01578e-05, 0.0597126, 0.691737, 0.0862923, 1.72107
0.356, -7.47814e-05, 0.0615842, 0.6941, 0.0886962, 1.76909
0.366, -7.94561e-05, 0.0634717, 0.696309, 0.0911268, 1.81765
0.376, -8.41823e-05, 0.0653733, 0.698354, 0.0935849, 1.86675
0.386, -8.89728e-05, 0.0672837, 0.700148, 0.0960764, 1.91652
0.396, -9.38272e-05, 0.0692036, 0.701715, 0.0986001, 1.96693
0.406, -9.87406e-05, 0.0711339, 0.703092, 0.101154, 2.01795
0.416, -0.00010371, 0.0730753, 0.704307, 0.103738, 2.06957
0.426, -0.000108734, 0.0750283, 0.705384, 0.10635, 2.12175
0.436, -0.00011381, 0.0769933, 0.706341, 0.108989, 2.17448
0.446, -0.000118936, 0.0789707, 0.707193, 0.111655, 2.22775
0.456, -0.000124114, 0.0809607, 0.707951, 0.114348, 2.28155
