Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
0, 0, 0, 0, 0.1, 1
0.006, 5.65784e-07, 0.00808239, 0.0720085, 0.0995225, 0.996598
0.016, 4.13382e-06, 0.0151316, 0.148536, 0.0977745, 0.97952
0.026, 7.78246e-06, 0.0200567, 0.203868, 0.0960959, 0.962555
0.036, 1.07535e-05, 0.0238817, 0.248422, 0.0945951, 0.947377
0.046, 1.3312e-05, 0.027015, 0.286212, 0.0932502, 0.933784
0.056, 1.56055e-05, 0.029664, 0.319222, 0.0920362, 0.921523
0.066, 1.76921e-05, 0.0319514, 0.348604, 0.0909327, 0.910386
0.076, 1.96024e-05, 0.0339567, 0.375102, 0.0899241, 0.900211
0.086, 2.13585e-05, 0.035735, 0.399228, 0.0889981, 0.890873
0.096, 2.29774e-05, 0.0373267, 0.421354, 0.0881453, 0.882275
0.106, 2.44725e-05, 0.0387624, 0.441763, 0.0873583, 0.874342
0.116, 2.58538e-05, 0.0400662, 0.460673, 0.0866316, 0.867017
0.126, 2.71276e-05, 0.0412583, 0.478262, 0.085963, 0.860258
0.136, 2.78998e-05, 0.0424635, 0.494496, 0.0856059, 0.856208
0.146, 2.77212e-05, 0.043753, 0.509261, 0.0856785, 0.856542
0.156, 2.68043e-05, 0.0451223, 0.522742, 0.0861072, 0.860501
0.166, 2.5319e-05, 0.0465664, 0.535091, 0.0868341, 0.867494
0.176, 2.33638e-05, 0.0480796, 0.546438, 0.0878132, 0.87705
0.186, 2.10076e-05, 0.0496565, 0.556892, 0.0890073, 0.888791
0.196, 1.83055e-05, 0.0512921, 0.566549, 0.0903867, 0.902412
0.206, 1.53024e-05, 0.0529817, 0.575489, 0.0919268, 0.917662
0.216, 1.20355e-05, 0.0547211, 0.583784, 0.0936076, 0.934337
0.226, 8.53564e-06, 0.0565066, 0.591495, 0.0954122, 0.952266
0.236, 4.82886e-06, 0.0583347, 0.598678, 0.0973268, 0.971307
0.246, 9.36978e-07, 0.0602024, 0.605381, 0.0993395, 0.991341
0.256, -3.12144e-06, 0.0621069, 0.611646, 0.10144, 1.01227
0.266, -7.33056e-06, 0.0640458, 0.617511, 0.103621, 1.034
0.276, -1.16768e-05, 0.0660169, 0.62301, 0.105874, 1.05646
0.286, -1.61484e-05, 0.0680182, 0.628172, 0.108194, 1.07959
0.296, -2.07352e-05, 0.0700479, 0.633026, 0.110574, 1.10333
0.306, -2.54284e-05, 0.0721043, 0.637594, 0.11301, 1.12764
0.316, -3.02202e-05, 0.0741861, 0.641899, 0.115498, 1.15247
0.326, -3.51038e-05, 0.0762919, 0.64596, 0.118034, 1.17779
0.336, -4.00733e-05, 0.0784204, 0.649796, 0.120616, 1.20356
0.346, -4.51234e-05, 0.0805707, 0.653421, 0.12324, 1.22975
0.356, -5.02494e-05, 0.0827416, 0.656851, 0.125903, 1.25635
0.366, -5.54471e-05, 0.0849323, 0.660099, 0.128605, 1.28333
0.376, -6.07128e-05, 0.087142, 0.663177, 0.131342, 1.31066
0.386, -6.60432e-05, 0.0893698, 0.666096, 0.134113, 1.33834
0.396, -7.14354e-05, 0.0916151, 0.668866, 0.136916, 1.36634
0.406, -7.68866e-05, 0.0938773, 0.671496, 0.13975, 1.39465
0.416, -8.23944e-05, 0.0961557, 0.673995, 0.142614, 1.42326
0.426, -8.79568e-05, 0.0984498, 0.676371, 0.145506, 1.45216
0.436, -9.35718e-05, 0.100759, 0.67863, 0.148426, 1.48133
0.446, -9.92375e-05, 0.103083, 0.68078, 0.151373, 1.51077
0.456, -0.000104952, 0.105421, 0.682826, 0.154345, 1.54046
0.466, -0.000110715, 0.107774, 0.684774, 0.157342, 1.57041
0.476, -0.000116524, 0.110139, 0.68663, 0.160363, 1.6006
0.486, -0.000122379, 0.11245, 0.688025, 0.163409, 1.63103
0.496, -0.000128278, 0.114772, 0.689296, 0.166477, 1.66169
0.506, -0.000134219, 0.117107, 0.690503, 0.169567, 1.69257
0.516, -0.000140206, 0.119452, 0.691636, 0.172682, 1.72369
