Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
6.346, -0.00721137, 2.47442, 0.65494, 3.77813, 151.091
6.356, -0.00722784, 2.47977, 0.65487, 3.7867, 151.434
6.366, -0.00724432, 2.48513, 0.654801, 3.79528, 151.777
6.376, -0.00726081, 2.49049, 0.654732, 3.80386, 152.12
6.386, -0.0072773, 2.49584, 0.654663, 3.81245, 152.464
6.396, -0.0072938, 2.5012, 0.654594, 3.82104, 152.807
6.406, -0.00731031, 2.50656, 0.654525, 3.82963, 153.151
6.416, -0.00732682, 2.51193, 0.654456, 3.83823, 153.495
6.426, -0.00734335, 2.51729, 0.654387, 3.84683, 153.839
6.436, -0.00735987, 2.52265, 0.654318, 3.85543, 154.183
6.446, -0.00737641, 2.52802, 0.65425, 3.86404, 154.527
6.456, -0.00739295, 2.53339, 0.654181, 3.87265, 154.872
6.466, -0.00740951, 2.53876, 0.654112, 3.88127, 155.216
6.476, -0.00742607, 2.54413, 0.654043, 3.88989, 155.561
6.486, -0.00744263, 2.5495, 0.653975, 3.89851, 155.906
6.496, -0.00745919, 2.55487, 0.653906, 3.90713, 156.251
6.506, -0.00747577, 2.56025, 0.653838, 3.91576, 156.596
6.516, -0.00749235, 2.56562, 0.65377, 3.92439, 156.941
6.526, -0.00750893, 2.571, 0.653702, 3.93302, 157.286
6.536, -0.00752553, 2.57638, 0.653633, 3.94166, 157.632
6.546, -0.00754213, 2.58176, 0.653565, 3.9503, 157.978
6.556, -0.00755873, 2.58714, 0.653497, 3.95895, 158.323
6.566, -0.00757535, 2.59252, 0.653429, 3.9676, 158.669
6.576, -0.00759197, 2.5979, 0.653362, 3.97625, 159.015
6.586, -0.00760859, 2.60328, 0.653294, 3.9849, 159.361
6.596, -0.00762522, 2.60867, 0.653226, 3.99356, 159.708
6.606, -0.00764186, 2.61406, 0.653158, 4.00222, 160.054
6.616, -0.00765851, 2.61944, 0.653091, 4.01088, 160.401
6.626, -0.00767516, 2.62483, 0.653023, 4.01955, 160.747
6.636, -0.00769181, 2.63022, 0.652955, 4.02822, 161.094
6.646, -0.00770847, 2.63561, 0.652888, 4.03689, 161.441
6.656, -0.00772514, 2.641, 0.652821, 4.04557, 161.788
6.666, -0.00774182, 2.6464, 0.652753, 4.05425, 162.135
6.676, -0.0077585, 2.65179, 0.652686, 4.06293, 162.483
6.686, -0.00777518, 2.65719, 0.652619, 4.07162, 162.83
6.696, -0.00779188, 2.66258, 0.652551, 4.08031, 163.178
6.706, -0.00780857, 2.66798, 0.652484, 4.089, 163.525
6.716, -0.00782528, 2.67338, 0.652417, 4.0977, 163.873
6.726, -0.00784199, 2.67878, 0.65235, 4.10639, 164.221
6.736, -0.0078587, 2.68418, 0.652283, 4.1151, 164.569
6.746, -0.00787543, 2.68958, 0.652216, 4.1238, 164.917
6.756, -0.00789215, 2.69499, 0.65215, 4.13251, 165.265
6.766, -0.00790889, 2.70039, 0.652083, 4.14122, 165.614
6.776, -0.00792563, 2.70579, 0.652016, 4.14993, 165.962
6.786, -0.00794237, 2.7112, 0.651949, 4.15865, 166.311
6.796, -0.00795912, 2.71661, 0.651883, 4.16737, 166.66
6.806, -0.00797588, 2.72201, 0.651816, 4.17609, 167.009
6.816, -0.00799264, 2.72742, 0.65175, 4.18481, 167.358
6.826, -0.0080094, 2.73283, 0.651683, 4.19354, 167.707
6.836, -0.00802618, 2.73824, 0.651617, 4.20227, 168.056
6.846, -0.00804296, 2.74366, 0.65155, 4.21101, 168.405
6.856, -0.00805974, 2.74907, 0.651484, 4.21975, 168.755
6.866, -0.00807653, 2.75448, 0.651418, 4.22849, 169.104
6.876, -0.00809333, 2.7599, 0.651351, 4.23723, 169.454
6.886, -0.00811012, 2.76531, 0.651285, 4.24597, 169.804
6.896, -0.00812693, 2.77073, 0.651219, 4.25472, 170.154
6.906, -0.00814374, 2.77614, 0.651153, 4.26347, 170.504
6.916, -0.00816055, 2.78156, 0.651087, 4.27222, 170.854
6.926, -0.00817737, 2.78698, 0.651021, 4.28098, 171.204
6.936, -0.0081942, 2.7924, 0.650956, 4.28974, 171.554
6.946, -0.00821103, 2.79782, 0.65089, 4.2985, 171.905
6.956, -0.00822786, 2.80324, 0.650824, 4.30726, 172.255
6.966, -0.0082447, 2.80866, 0.650758, 4.31603, 172.606
6.976, -0.00826155, 2.81409, 0.650693, 4.3248, 172.957
6.986, -0.0082784, 2.81951, 0.650627, 4.33357, 173.308
6.996, -0.00829526, 2.82493, 0.650562, 4.34234, 173.659
7.006, -0.00831212, 2.83036, 0.650496, 4.35112, 174.01
7.016, -0.00832899, 2.83578, 0.650431, 4.3599, 174.361
7.026, -0.00834586, 2.84121, 0.650365, 4.36868, 174.712
7.036, -0.00836273, 2.84664, 0.6503, 4.37747, 175.064
7.046, -0.00837961, 2.85207, 0.650235, 4.38625, 175.415
7.056, -0.0083965, 2.8575, 0.65017, 4.39504, 175.767
7.066, -0.00841339, 2.86292, 0.650105, 4.40384, 176.118
7.076, -0.00843028, 2.86836, 0.650039, 4.41263, 176.47
7.086, -0.00844718, 2.87379, 0.649974, 4.42143, 176.822
7.096, -0.00846409, 2.87922, 0.649909, 4.43023, 177.174
7.106, -0.00848099, 2.88465, 0.649845, 4.43903, 177.526
7.116, -0.00849791, 2.89008, 0.64978, 4.44783, 177.878
7.126, -0.00851483, 2.89552, 0.649715, 4.45664, 178.23
7.136, -0.00853175, 2.90095, 0.64965, 4.46545, 178.583
7.146, -0.00854868, 2.90639, 0.649585, 4.47426, 178.935
7.156, -0.00856561, 2.91182, 0.649521, 4.48307, 179.288
7.166, -0.00858254, 2.91726, 0.649456, 4.49189, 179.64
7.176, -0.00859948, 2.92269, 0.649392, 4.50071, 179.993
7.186, -0.00861643, 2.92813, 0.649327, 4.50953, 180.346
