Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
0, 0, 0, 0, 0.5, 1
0.006, 9.7314e-07, 0.0201841, 0.0352471, 0.499173, 0.998836
0.016, 7.70072e-06, 0.0419419, 0.0806807, 0.49577, 0.992307
0.026, 1.61444e-05, 0.0588593, 0.11646, 0.491787, 0.984381
0.036, 2.41833e-05, 0.0728425, 0.146555, 0.487787, 0.976365
0.046, 3.17059e-05, 0.0848222, 0.172823, 0.483916, 0.968592
0.056, 3.88138e-05, 0.0953287, 0.196293, 0.480214, 0.961152
0.066, 4.55646e-05, 0.104696, 0.217605, 0.476684, 0.954058
0.076, 5.19914e-05, 0.113151, 0.237183, 0.47332, 0.947298
0.086, 5.81206e-05, 0.120854, 0.25533, 0.47011, 0.940849
0.096, 6.39754e-05, 0.127924, 0.272267, 0.467045, 0.934691
0.106, 6.95768e-05, 0.134454, 0.288163, 0.464113, 0.9288
0.116, 7.49435e-05, 0.140515, 0.30315, 0.461304, 0.923159
0.126, 8.0092e-05, 0.146164, 0.317334, 0.45861, 0.917748
0.136, 8.50369e-05, 0.151449, 0.330799, 0.456023, 0.912553
0.146, 8.9791e-05, 0.15641, 0.343618, 0.453536, 0.90756
0.156, 9.43656e-05, 0.161078, 0.355851, 0.451143, 0.902757
0.166, 9.87706e-05, 0.165482, 0.367547, 0.44884, 0.898132
0.176, 0.000103015, 0.169647, 0.378751, 0.44662, 0.893677
0.186, 0.000107106, 0.173593, 0.389501, 0.444482, 0.889384
0.196, 0.000111051, 0.177339, 0.399829, 0.442419, 0.885245
0.206, 0.000114855, 0.180902, 0.409765, 0.440431, 0.881253
0.216, 0.000118523, 0.184239, 0.419243, 0.438513, 0.877404
0.226, 0.000122061, 0.18732, 0.428111, 0.436664, 0.873692
0.236, 0.000125471, 0.190256, 0.436652, 0.434882, 0.870114
0.246, 0.000128756, 0.193059, 0.444887, 0.433165, 0.866667
0.256, 0.000131919, 0.195738, 0.452831, 0.431511, 0.863348
0.266, 0.000134961, 0.198302, 0.4605, 0.429921, 0.860155
0.276, 0.000137884, 0.20076, 0.467908, 0.428394, 0.857087
0.286, 0.000140686, 0.20312, 0.475068, 0.426929, 0.854145
0.296, 0.000143367, 0.205389, 0.481992, 0.425526, 0.851328
0.306, 0.000145739, 0.207631, 0.48867, 0.424325, 0.848851
0.316, 0.00014722, 0.209936, 0.495033, 0.423554, 0.847225
0.326, 0.000147869, 0.212302, 0.501096, 0.423176, 0.846395
0.336, 0.00014782, 0.214728, 0.506881, 0.423156, 0.846286
0.346, 0.000147153, 0.217213, 0.512408, 0.423461, 0.846834
0.356, 0.000145924, 0.219754, 0.517695, 0.424063, 0.84798
0.366, 0.000144181, 0.222348, 0.522757, 0.424936, 0.849674
0.376, 0.000141966, 0.224994, 0.52761, 0.426058, 0.85187
0.386, 0.000139317, 0.227689, 0.532265, 0.427408, 0.854526
0.396, 0.000136269, 0.23043, 0.536735, 0.428968, 0.857606
0.406, 0.000132852, 0.233215, 0.541031, 0.430723, 0.861078
0.416, 0.000129095, 0.236043, 0.545162, 0.432657, 0.864911
0.426, 0.000125021, 0.238911, 0.549139, 0.434757, 0.86908
0.436, 0.000120653, 0.241818, 0.552969, 0.437012, 0.873559
0.446, 0.000116012, 0.244761, 0.55666, 0.43941, 0.878328
0.456, 0.000111116, 0.247739, 0.56022, 0.441943, 0.883367
0.466, 0.000105982, 0.250751, 0.563655, 0.4446, 0.888658
0.476, 0.000100626, 0.253794, 0.566972, 0.447374, 0.894183
0.486, 9.50615e-05, 0.256868, 0.570176, 0.450258, 0.899929
0.496, 8.93012e-05, 0.259971, 0.573274, 0.453244, 0.905882
0.506, 8.33569e-05, 0.263102, 0.57627, 0.456327, 0.912029
0.516, 7.72396e-05, 0.266259, 0.579169, 0.459501, 0.918359
0.526, 7.0959e-05, 0.269443, 0.581975, 0.46276, 0.924861
0.536, 6.45244e-05, 0.27265, 0.584694, 0.4661, 0.931526
0.546, 5.79442e-05, 0.275882, 0.587327, 0.469517, 0.938344
0.556, 5.12261e-05, 0.279136, 0.589881, 0.473006, 0.945307
0.566, 4.43772e-05, 0.282411, 0.592357, 0.476563, 0.952408
0.576, 3.74044e-05, 0.285708, 0.594759, 0.480185, 0.95964
0.586, 3.03137e-05, 0.289025, 0.59709, 0.483869, 0.966996
0.596, 2.31108e-05, 0.292361, 0.599353, 0.487612, 0.974471
0.606, 1.5801e-05, 0.295715, 0.601552, 0.491411, 0.982057
0.616, 8.38933e-06, 0.299088, 0.603688, 0.495263, 0.989751
0.626, 1.11853e-06, 0.304067, 0.605763, 0.498769, 0.997547
0.636, -5.76448e-06, 0.307437, 0.611396, 0.502683, 1.00458
0.646, -1.3389e-05, 0.310822, 0.613339, 0.506613, 1.01244
0.656, -2.10685e-05, 0.314223, 0.615229, 0.510587, 1.02038
0.666, -2.87971e-05, 0.317637, 0.617068, 0.514602, 1.0284
0.676, -3.65942e-05, 0.321066, 0.618858, 0.518656, 1.0365
0.686, -4.44629e-05, 0.324508, 0.620602, 0.522748, 1.04467
0.696, -5.2401e-05, 0.327963, 0.6223, 0.526876, 1.05292
0.706, -6.0406e-05, 0.33143, 0.623954, 0.531039, 1.06124
0.716, -6.84754e-05, 0.33491, 0.625565, 0.535236, 1.06963
0.726, -7.66069e-05, 0.338402, 0.627136, 0.539465, 1.07808
0.736, -8.47983e-05, 0.341905, 0.628667, 0.543726, 1.0866
0.746, -9.30477e-05, 0.345419, 0.63016, 0.548017, 1.09517
0.756, -0.000101353, 0.348945, 0.631616, 0.552337, 1.10381
0.766, -0.000109712, 0.352481, 0.633037, 0.556686, 1.1125
0.776, -0.000118124, 0.356027, 0.634422, 0.561062, 1.12125
0.786, -0.000126587, 0.359583, 0.635774, 0.565464, 1.13005
0.796, -0.000135099, 0.363149, 0.637094, 0.569893, 1.1389
0.806, -0.000143659, 0.366725, 0.638382, 0.574346, 1.1478
0.816, -0.000152266, 0.37031, 0.639639, 0.578824, 1.15675
0.826, -0.000160918, 0.373904, 0.640867, 0.583325, 1.16575
0.836, -0.000169614, 0.377508, 0.642066, 0.587849, 1.17479
0.846, -0.000178352, 0.381119, 0.643237, 0.592396, 1.18388
0.856, -0.000187133, 0.38474, 0.644381, 0.596964, 1.19301
0.866, -0.000195954, 0.388369, 0.645498, 0.601554, 1.20219
0.876, -0.000204816, 0.392005, 0.64659, 0.606165, 1.21141
0.886, -0.000213716, 0.39565, 0.647657, 0.610796, 1.22066
0.896, -0.000222654, 0.399303, 0.648699, 0.615446, 1.22996
0.906, -0.000231629, 0.402963, 0.649718, 0.620117, 1.2393
0.916, -0.000240641, 0.406631, 0.650714, 0.624806, 1.24867
0.926, -0.000249688, 0.410307, 0.651688, 0.629514, 1.25808
0.936, -0.00025877, 0.413989, 0.652639, 0.634239, 1.26753
0.946, -0.000267887, 0.417679, 0.65357, 0.638983, 1.27702
0.956, -0.000277037, 0.421376, 0.654479, 0.643745, 1.28654
0.966, -0.00028622, 0.425079, 0.655369, 0.648523, 1.29609
0.976, -0.000295436, 0.428789, 0.656239, 0.653319, 1.30568
0.986, -0.000304683, 0.432506, 0.657089, 0.658131, 1.3153
0.996, -0.000313962, 0.436229, 0.657921, 0.662959, 1.32495
1.006, -0.000323271, 0.439959, 0.658734, 0.667804, 1.33464
1.016, -0.000332611, 0.443695, 0.65953, 0.672664, 1.34436
1.026, -0.000341981, 0.447437, 0.660308, 0.67754, 1.3541
1.036, -0.000351381, 0.451186, 0.661069, 0.682432, 1.36388
1.046, -0.000360809, 0.45494, 0.661813, 0.687338, 1.37369
1.056, -0.000370266, 0.4587, 0.66254, 0.69226, 1.38353
1.066, -0.000379761, 0.46246, 0.66324, 0.697202, 1.39341
