Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.0106397, 0, 0.999971, 0.999971, 2.91326e-05
0.0131579, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0263158, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0394737, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0526316, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0657895, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0789474, 0.0470951, 0.00790205, 0.996159, 0.996285, 0.00371493
0.0921053, 0.07839, 0.0163085, 0.98856, 0.98873, 0.0112704
0.105263, 0.104309, 0.0247149, 0.979624, 0.979808, 0.020192
0.118421, 0.126235, 0.0331213, 0.970349, 0.970534, 0.0294658
0.131579, 0.145129, 0.0415278, 0.961157, 0.961339, 0.0386612
0.144737, 0.161653, 0.0499342, 0.952232, 0.952407, 0.0475929
0.157895, 0.176272, 0.0583406, 0.943648, 0.943817, 0.0561834
0.171053, 0.189324, 0.0667471, 0.935434, 0.935595, 0.0644054
0.184211, 0.201063, 0.0751535, 0.927591, 0.927744, 0.0722557
0.197368, 0.211686, 0.0835599, 0.920111, 0.920257, 0.0797427
0.210526, 0.221346, 0.0919664, 0.91298, 0.913119, 0.0868807
0.223684, 0.230167, 0.100373, 0.906181, 0.906314, 0.0936864
0.236842, 0.23825, 0.108779, 0.899696, 0.899823, 0.100177
0.25, 0.228284, 0.111133, 0.895766, 0.895779, 0.104221
0.259259, 0.190791, 0.102727, 0.893701, 0.89376, 0.10624
0.268519, 0.160591, 0.0943202, 0.890414, 0.890484, 0.109516
0.277778, 0.134975, 0.0859137, 0.886866, 0.886938, 0.113062
0.287037, 0.112618, 0.0775073, 0.883323, 0.883393, 0.116607
0.296296, 0.0927121, 0.0691009, 0.879872, 0.87994, 0.12006
0.305556, 0.0747279, 0.0606944, 0.876544, 0.876609, 0.123391
0.314815, 0.0582988, 0.052288, 0.873345, 0.873407, 0.126593
0.324074, 0.0431591, 0.0438816, 0.870272, 0.870333, 0.129667
0.333333, 0.0291094, 0.0354751, 0.867321, 0.867378, 0.132622
0.342593, 0.0159956, 0.0270687, 0.864482, 0.864538, 0.135462
0.351852, 0.00369611, 0.0186623, 0.861749, 0.861803, 0.138197
0.361111, -0.00788723, 0.0102558, 0.859115, 0.859167, 0.140833
0.37037, -0.0188347, 0.00184941, 0.856573, 0.856623, 0.143377
0.37963, -0.029213, -0.00655702, 0.854115, 0.854164, 0.145836
0.388889, -0.0390783, -0.0149634, 0.851738, 0.851784, 0.148216
0.398148, -0.0484785, -0.0233699, 0.849434, 0.84948, 0.15052
0.407407, -0.0574543, -0.0317763, 0.847201, 0.847245, 0.152755
0.416667, -0.0660413, -0.0401827, 0.845032, 0.845075, 0.154925
0.425926, -0.0742702, -0.0485892, 0.842926, 0.842967, 0.157033
0.435185, -0.0821683, -0.0569956, 0.840877, 0.840917, 0.159083
0.444444, -0.0897593, -0.065402, 0.838882, 0.838922, 0.161078
0.453704, -0.0970646, -0.0738085, 0.83694, 0.836978, 0.163022
0.462963, -0.104103, -0.0822149, 0.835046, 0.835083, 0.164917
0.472222, -0.110892, -0.0906213, 0.833199, 0.833235, 0.166765
0.481481, -0.117446, -0.0990278, 0.831395, 0.831431, 0.168569
0.490741, -0.12378, -0.107434, 0.829634, 0.829669, 0.170331
0.5, -0.129905, -0.115841, 0.827913, 0.827947, 0.172053
0.509259, -0.135834, -0.124247, 0.82623, 0.826264, 0.173736
0.518519, -0.141577, -0.132653, 0.824584, 0.824617, 0.175383
0.527778, -0.147143, -0.14106, 0.822973, 0.823005, 0.176995
0.537037, -0.152541, -0.149466, 0.821395, 0.821427, 0.178573
0.546296, -0.157779, -0.157873, 0.81985, 0.81988, 0.18012
0.555556, -0.162865, -0.166279, 0.818335, 0.818365, 0.181635
