Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.0106397, 0, 0.999971, 0.999971, 2.91326e-05
0.0166667, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0333333, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.05, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0666667, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0833333, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.1, 0.0470951, 0.00790205, 0.996159, 0.996285, 0.00371493
0.116667, 0.07839, 0.0163085, 0.98856, 0.98873, 0.0112704
0.133333, 0.104309, 0.0247149, 0.979624, 0.979808, 0.020192
0.15, 0.126235, 0.0331213, 0.970349, 0.970534, 0.0294658
0.166667, 0.145129, 0.0415278, 0.961157, 0.961339, 0.0386612
0.183333, 0.161653, 0.0499342, 0.952232, 0.952407, 0.0475929
0.2, 0.176272, 0.0583406, 0.943648, 0.943817, 0.0561834
0.216667, 0.189324, 0.0667471, 0.935434, 0.935595, 0.0644054
0.233333, 0.201063, 0.0751535, 0.927591, 0.927744, 0.0722557
0.25, 0.206391, 0.0818786, 0.921005, 0.921005, 0.0789953
0.262821, 0.166167, 0.0734722, 0.919191, 0.919256, 0.0807443
0.275641, 0.134552, 0.0650658, 0.915367, 0.915451, 0.084549
0.288462, 0.108036, 0.0566593, 0.911046, 0.911134, 0.0888658
0.301282, 0.0850978, 0.0482529, 0.906671, 0.906757, 0.0932425
0.314103, 0.0648123, 0.0398465, 0.902387, 0.902472, 0.0975285
0.326923, 0.0465839, 0.0314401, 0.898247, 0.898328, 0.101672
0.339744, 0.030005, 0.0230336, 0.894264, 0.894342, 0.105658
0.352564, 0.0147837, 0.0146272, 0.890439, 0.890514, 0.109486
0.365385, 0.000703098, 0.00622076, 0.886765, 0.886837, 0.113163
0.378205, -0.0124028, -0.00218567, 0.883233, 0.883303, 0.116697
0.391026, -0.0246642, -0.0105921, 0.879835, 0.879902, 0.120098
0.403846, -0.0361856, -0.0189985, 0.876561, 0.876625, 0.123375
0.416667, -0.0470519, -0.027405, 0.873403, 0.873465, 0.126535
0.429487, -0.0573334, -0.0358114, 0.870353, 0.870413, 0.129587
0.442308, -0.067089, -0.0442178, 0.867403, 0.867462, 0.132538
0.455128, -0.0763685, -0.0526243, 0.864549, 0.864605, 0.135395
0.467949, -0.0852146, -0.0610307, 0.861782, 0.861837, 0.138163
0.480769, -0.093664, -0.0694371, 0.859099, 0.859152, 0.140848
0.49359, -0.101749, -0.0778436, 0.856493, 0.856545, 0.143455
0.50641, -0.109497, -0.08625, 0.853962, 0.854011, 0.145989
0.519231, -0.116933, -0.0946564, 0.851499, 0.851548, 0.148452
0.532051, -0.124079, -0.103063, 0.849103, 0.84915, 0.15085
0.544872, -0.130954, -0.111469, 0.846769, 0.846815, 0.153185
0.557692, -0.137576, -0.119876, 0.844494, 0.844539, 0.155461
0.570513, -0.14396, -0.128282, 0.842275, 0.842319, 0.157681
0.583333, -0.150121, -0.136689, 0.840111, 0.840153, 0.159847
0.596154, -0.156071, -0.145095, 0.837997, 0.838039, 0.161961
0.608974, -0.161822, -0.153501, 0.835932, 0.835973, 0.164027
0.621795, -0.167384, -0.161908, 0.833915, 0.833955, 0.166045
0.634615, -0.172768, -0.170314, 0.831942, 0.831981, 0.168019
0.647436, -0.177982, -0.178721, 0.830012, 0.83005, 0.16995
0.660256, -0.183035, -0.187127, 0.828124, 0.828161, 0.171839
0.673077, -0.187933, -0.195534, 0.826276, 0.826312, 0.173688
0.685897, -0.192685, -0.20394, 0.824465, 0.824501, 0.175499
0.698718, -0.197295, -0.212346, 0.822692, 0.822727, 0.177273
0.711538, -0.201772, -0.220753, 0.820955, 0.820989, 0.179011
0.724359, -0.206119, -0.229159, 0.819252, 0.819286, 0.180714
0.737179, -0.210342, -0.237566, 0.817582, 0.817616, 0.182384
0.75, -0.172321, -0.230504, 0.816978, 0.817001, 0.182999
0.762821, -0.140663, -0.222098, 0.815594, 0.815625, 0.184375
0.775641, -0.114259, -0.213691, 0.814004, 0.814036, 0.185964
0.788462, -0.0914267, -0.205285, 0.812385, 0.812417, 0.187583
0.801282, -0.0712206, -0.196879, 0.810795, 0.810826, 0.189174
0.814103, -0.0530454, -0.188472, 0.809253, 0.809283, 0.190717
0.826923, -0.0364977, -0.180066, 0.807766, 0.807795, 0.192205
0.839744, -0.0212902, -0.171659, 0.806334, 0.806363, 0.193637
0.852564, -0.00720958, -0.163253, 0.804956, 0.804983, 0.195017
0.865385, 0.00590739, -0.154846, 0.803628, 0.803654, 0.196346
0.878205, 0.0181887, -0.14644, 0.802346, 0.802372, 0.197628
0.891026, 0.029737, -0.138034, 0.801109, 0.801133, 0.198867
0.903846, 0.0406359, -0.129627, 0.799913, 0.799936, 0.200064
0.916667, 0.0509547, -0.121221, 0.798755, 0.798778, 0.201222
0.929487, 0.0607513, -0.112814, 0.797632, 0.797654, 0.202346
0.942308, 0.0700749, -0.104408, 0.796543, 0.796564, 0.203436
0.955128, 0.0789675, -0.0960014, 0.795485, 0.795506, 0.204494
0.967949, 0.0874656, -0.087595, 0.794456, 0.794476, 0.205524
0.980769, 0.0956007, -0.0791886, 0.793454, 0.793474, 0.206526
0.99359, 0.1034, -0.0707822, 0.792479, 0.792498, 0.207502
1.00641, 0.110889, -0.0623757, 0.791527, 0.791546, 0.208454
1.01923, 0.118089, -0.0539693, 0.790599, 0.790617, 0.209383
1.03205, 0.125019, -0.0455629, 0.789692, 0.78971, 0.21029
