Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.0106397, 0, 0.999971, 0.999971, 2.91326e-05
0.0104167, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0208333, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.03125, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0416667, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0520833, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0625, 0.0470951, 0.00790205, 0.996159, 0.996285, 0.00371493
0.0729167, 0.07839, 0.0163085, 0.98856, 0.98873, 0.0112704
0.0833333, 0.104309, 0.0247149, 0.979624, 0.979808, 0.020192
0.09375, 0.126235, 0.0331213, 0.970349, 0.970534, 0.0294658
0.104167, 0.145129, 0.0415278, 0.961157, 0.961339, 0.0386612
0.114583, 0.161653, 0.0499342, 0.952232, 0.952407, 0.0475929
0.125, 0.176272, 0.0583406, 0.943648, 0.943817, 0.0561834
0.135417, 0.189324, 0.0667471, 0.935434, 0.935595, 0.0644054
0.145833, 0.201063, 0.0751535, 0.927591, 0.927744, 0.0722557
0.15625, 0.211686, 0.0835599, 0.920111, 0.920257, 0.0797427
0.166667, 0.221346, 0.0919664, 0.91298, 0.913119, 0.0868807
0.177083, 0.230167, 0.100373, 0.906181, 0.906314, 0.0936864
0.1875, 0.23825, 0.108779, 0.899696, 0.899823, 0.100177
0.197917, 0.246278, 0.117186, 0.893695, 0.893809, 0.106191
0.208333, 0.2531, 0.125592, 0.887825, 0.88794, 0.11206
0.21875, 0.259416, 0.133999, 0.882194, 0.882304, 0.117696
0.229167, 0.265261, 0.142405, 0.876812, 0.876917, 0.123083
0.239583, 0.270678, 0.150811, 0.871666, 0.871766, 0.128234
0.25, 0.273149, 0.158209, 0.867135, 0.867134, 0.132866
0.256494, 0.235461, 0.149803, 0.86627, 0.866306, 0.133694
0.262987, 0.203298, 0.141396, 0.863948, 0.864, 0.136
0.269481, 0.176105, 0.13299, 0.861263, 0.861317, 0.138683
0.275974, 0.152529, 0.124583, 0.858537, 0.858591, 0.141409
0.282468, 0.131628, 0.116177, 0.855867, 0.85592, 0.14408
0.288961, 0.112801, 0.10777, 0.853287, 0.853338, 0.146662
0.295455, 0.0956366, 0.099364, 0.850805, 0.850854, 0.149146
0.301948, 0.0798431, 0.0909576, 0.848421, 0.848468, 0.151532
0.308442, 0.0652023, 0.0825512, 0.846131, 0.846176, 0.153824
0.314935, 0.0515473, 0.0741447, 0.843928, 0.843972, 0.156028
0.321429, 0.038747, 0.0657383, 0.841809, 0.84185, 0.15815
0.327922, 0.0266962, 0.0573319, 0.839765, 0.839805, 0.160195
0.334416, 0.0153094, 0.0489254, 0.837793, 0.837832, 0.162168
0.340909, 0.00451538, 0.040519, 0.835887, 0.835924, 0.164076
0.347403, -0.00574522, 0.0321126, 0.834042, 0.834079, 0.165921
0.353896, -0.0155228, 0.0237061, 0.832255, 0.83229, 0.16771
0.36039, -0.0248606, 0.0152997, 0.830521, 0.830556, 0.169444
0.366883, -0.0337958, 0.00689327, 0.828838, 0.828871, 0.171129
