Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.0106397, 0, 0.999971, 0.999971, 2.91326e-05
0.00757576, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0151515, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0227273, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.030303, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0378788, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0454545, 0.0470951, 0.00790205, 0.996159, 0.996285, 0.00371493
0.0530303, 0.07839, 0.0163085, 0.98856, 0.98873, 0.0112704
0.0606061, 0.104309, 0.0247149, 0.979624, 0.979808, 0.020192
0.0681818, 0.126235, 0.0331213, 0.970349, 0.970534, 0.0294658
0.0757576, 0.145129, 0.0415278, 0.961157, 0.961339, 0.0386612
0.0833333, 0.161653, 0.0499342, 0.952232, 0.952407, 0.0475929
0.0909091, 0.176272, 0.0583406, 0.943648, 0.943817, 0.0561834
0.0984848, 0.189324, 0.0667471, 0.935434, 0.935595, 0.0644054
0.106061, 0.201063, 0.0751535, 0.927591, 0.927744, 0.0722557
0.113636, 0.211686, 0.0835599, 0.920111, 0.920257, 0.0797427
0.121212, 0.221346, 0.0919664, 0.91298, 0.913119, 0.0868807
0.128788, 0.230167, 0.100373, 0.906181, 0.906314, 0.0936864
0.136364, 0.23825, 0.108779, 0.899696, 0.899823, 0.100177
0.143939, 0.246278, 0.117186, 0.893695, 0.893809, 0.106191
0.151515, 0.2531, 0.125592, 0.887825, 0.88794, 0.11206
0.159091, 0.259416, 0.133999, 0.882194, 0.882304, 0.117696
0.166667, 0.265261, 0.142405, 0.876812, 0.876917, 0.123083
0.174242, 0.270678, 0.150811, 0.871666, 0.871766, 0.128234
0.181818, 0.275708, 0.159218, 0.866741, 0.866837, 0.133163
0.189394, 0.280384, 0.167624, 0.862025, 0.862117, 0.137883
0.19697, 0.284736, 0.176031, 0.857506, 0.857595, 0.142405
0.204545, 0.288791, 0.184437, 0.853175, 0.85326, 0.14674
0.212121, 0.292571, 0.192844, 0.84902, 0.849101, 0.150899
0.219697, 0.296099, 0.20125, 0.845031, 0.845109, 0.154891
0.227273, 0.299392, 0.209656, 0.841201, 0.841276, 0.158724
0.234848, 0.302469, 0.218063, 0.83752, 0.837592, 0.162408
0.242424, 0.305344, 0.226469, 0.833982, 0.834051, 0.165949
0.25, 0.305139, 0.233531, 0.830917, 0.830917, 0.169083
0.254348, 0.270863, 0.225124, 0.830397, 0.830419, 0.169581
0.258696, 0.239885, 0.216718, 0.828976, 0.829009, 0.170991
0.263043, 0.212215, 0.208311, 0.827236, 0.827272, 0.172728
0.267391, 0.188214, 0.199905, 0.825461, 0.825496, 0.174504
0.271739, 0.166925, 0.191499, 0.82372, 0.823754, 0.176246
0.276087, 0.147736, 0.183092, 0.822036, 0.822069, 0.177931
0.280435, 0.130232, 0.174686, 0.820415, 0.820447, 0.179553
0.284783, 0.114116, 0.166279, 0.818857, 0.818888, 0.181112
0.28913, 0.0991665, 0.157873, 0.81736, 0.817389, 0.182611
0.293478, 0.0852153, 0.149466, 0.815919, 0.815947, 0.184053
0.297826, 0.0721293, 0.14106, 0.814531, 0.814558, 0.185442
0.302174, 0.0598023, 0.132653, 0.813192, 0.813219, 0.186781
0.306522, 0.0481474, 0.124247, 0.811899, 0.811924, 0.188076
0.31087, 0.0370927, 0.115841, 0.810647, 0.810672, 0.189328
0.315217, 0.026578, 0.107434, 0.809435, 0.809459, 0.190541
0.319565, 0.0165521, 0.0990278, 0.808259, 0.808282, 0.191718
0.323913, 0.00697146, 0.0906213, 0.807117, 0.80714, 0.19286
0.328261, -0.00220182, 0.0822149, 0.806007, 0.806029, 0.193971
0.332609, -0.0110006, 0.0738085, 0.804926, 0.804947, 0.195053
0.336957, -0.0194536, 0.065402, 0.803873, 0.803894, 0.196106
0.341304, -0.0275864, 0.0569956, 0.802846, 0.802866, 0.197134
0.345652, -0.0354213, 0.0485892, 0.801844, 0.801864, 0.198136
0.35, -0.0429786, 0.0401827, 0.800865, 0.800884, 0.199116
0.354348, -0.0502761, 0.0317763, 0.799907, 0.799926, 0.200074
0.358696, -0.0573301, 0.0233699, 0.79897, 0.798989, 0.201011
