Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.00880415, 0, 0.999982, 0.999982, 1.79175e-05
0.01, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.02, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.03, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.04, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.05, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.06, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.07, 0.0302191, 0.00532706, 0.998769, 0.998817, 0.00118319
0.08, 0.0542339, 0.0123364, 0.995733, 0.995803, 0.0041973
0.09, 0.0749528, 0.0193457, 0.991955, 0.992034, 0.00796568
0.1, 0.0932177, 0.026355, 0.987858, 0.987942, 0.012058
0.11, 0.109584, 0.0333642, 0.983645, 0.983729, 0.0162708
0.12, 0.124435, 0.0403735, 0.979415, 0.979499, 0.0205011
0.13, 0.138044, 0.0473828, 0.975222, 0.975305, 0.0246949
0.14, 0.150613, 0.0543921, 0.971095, 0.971177, 0.0288231
0.15, 0.162297, 0.0614014, 0.96705, 0.96713, 0.0328704
0.16, 0.173216, 0.0684107, 0.963092, 0.963171, 0.0368294
0.17, 0.183467, 0.07542, 0.959227, 0.959303, 0.040697
0.18, 0.193128, 0.0824293, 0.955452, 0.955527, 0.0444729
0.19, 0.202263, 0.0894386, 0.951769, 0.951842, 0.0481582
0.2, 0.210925, 0.0964479, 0.948174, 0.948245, 0.0517551
0.21, 0.21916, 0.103457, 0.944665, 0.944734, 0.0552661
0.22, 0.227008, 0.110467, 0.941238, 0.941306, 0.058694
0.23, 0.2345, 0.117476, 0.937892, 0.937958, 0.0620417
0.24, 0.241666, 0.124485, 0.934623, 0.934688, 0.0653122
0.25, 0.241934, 0.128971, 0.932065, 0.932065, 0.0679346
0.257246, 0.214052, 0.121962, 0.931274, 0.931303, 0.0686971
0.264493, 0.189844, 0.114952, 0.929469, 0.92951, 0.0704901
0.271739, 0.168474, 0.107943, 0.927257, 0.927303, 0.0726972
0.278986, 0.149399, 0.100934, 0.924891, 0.924939, 0.0750605
0.286232, 0.132127, 0.0939246, 0.922482, 0.922531, 0.0774693
0.293478, 0.116303, 0.0869153, 0.920079, 0.920127, 0.0798728
0.300725, 0.10167, 0.079906, 0.917707, 0.917754, 0.0822462
0.307971, 0.0880377, 0.0728967, 0.915376, 0.915422, 0.0845778
0.315217, 0.0752609, 0.0658874, 0.913093, 0.913138, 0.0868622
0.322464, 0.063225, 0.0588781, 0.910858, 0.910902, 0.0890979
0.32971, 0.0518386, 0.0518688, 0.908672, 0.908715, 0.0912852
0.336957, 0.0410272, 0.0448595, 0.906532, 0.906575, 0.0934255
0.344203, 0.0307292, 0.0378502, 0.904438, 0.904479, 0.0955206
0.351449, 0.0208931, 0.0308409, 0.902387, 0.902427, 0.0975729
0.358696, 0.0114752, 0.0238316, 0.900376, 0.900416, 0.0995845
0.365942, 0.00243828, 0.0168223, 0.898403, 0.898442, 0.101558
0.373188, -0.00624995, 0.00981301, 0.896467, 0.896505, 0.103495
0.380435, -0.0146175, 0.00280372, 0.894564, 0.894602, 0.105398
0.387681, -0.0226888, -0.00420558, 0.892694, 0.892731, 0.107269
0.394928, -0.0304855, -0.0112149, 0.890853, 0.89089, 0.10911
0.402174, -0.0380267, -0.0182242, 0.889042, 0.889078, 0.110922
0.40942, -0.0453295, -0.0252335, 0.887256, 0.887292, 0.112708
0.416667, -0.0524092, -0.0322428, 0.885496, 0.885531, 0.114469
0.423913, -0.0592794, -0.0392521, 0.88376, 0.883795, 0.116205
0.431159, -0.0659526, -0.0462614, 0.882047, 0.882081, 0.117919
0.438406, -0.07244, -0.0532706, 0.880354, 0.880388, 0.119612
0.445652, -0.0787518, -0.0602799, 0.878682, 0.878716, 0.121284
0.452899, -0.0848973, -0.0672892, 0.877029, 0.877062, 0.122938
0.460145, -0.0908851, -0.0742985, 0.875394, 0.875427, 0.124573
0.467391, -0.0967229, -0.0813078, 0.873777, 0.873809, 0.126191
0.474638, -0.102418, -0.0883171, 0.872175, 0.872207, 0.127793
0.481884, -0.107977, -0.0953264, 0.870589, 0.870621, 0.129379
0.48913, -0.113407, -0.102336, 0.869018, 0.86905, 0.13095
0.496377, -0.118712, -0.109345, 0.867462, 0.867493, 0.132507
0.503623, -0.123898, -0.116354, 0.865918, 0.865949, 0.134051
0.51087, -0.12897, -0.123364, 0.864388, 0.864418, 0.135582
0.518116, -0.133933, -0.130373, 0.86287, 0.8629, 0.1371
0.525362, -0.138791, -0.137382, 0.861363, 0.861393, 0.138607
0.532609, -0.143548, -0.144391, 0.859868, 0.859898, 0.140102
0.539855, -0.148208, -0.151401, 0.858384, 0.858414, 0.141586
0.547101, -0.152774, -0.15841, 0.856911, 0.85694, 0.14306
0.554348, -0.15725, -0.165419, 0.855447, 0.855476, 0.144524
0.561594, -0.161625, -0.172429, 0.853993, 0.854022, 0.145978
0.568841, -0.165775, -0.179438, 0.852548, 0.852577, 0.147423
0.576087, -0.169843, -0.186447, 0.851113, 0.851141, 0.148859
0.583333, -0.173833, -0.193457, 0.849686, 0.849714, 0.150286
0.59058, -0.177747, -0.200466, 0.848267, 0.848295, 0.151705
0.597826, -0.181586, -0.207475, 0.846857, 0.846885, 0.153115
0.605072, -0.185354, -0.214484, 0.845454, 0.845482, 0.154518
0.612319, -0.189053, -0.221494, 0.84406, 0.844087, 0.155913
0.619565, -0.192684, -0.228503, 0.842672, 0.8427, 0.1573
0.626812, -0.19625, -0.235512, 0.841293, 0.84132, 0.15868
