Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.00880415, 0, 0.999982, 0.999982, 1.79175e-05
0.0178571, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0357143, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0535714, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0714286, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0892857, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.107143, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.125, 0.0302191, 0.00532706, 0.998769, 0.998817, 0.00118319
0.142857, 0.0542339, 0.0123364, 0.995733, 0.995803, 0.0041973
0.160714, 0.0749528, 0.0193457, 0.991955, 0.992034, 0.00796568
0.178571, 0.0932177, 0.026355, 0.987858, 0.987942, 0.012058
0.196429, 0.109584, 0.0333642, 0.983645, 0.983729, 0.0162708
0.214286, 0.124435, 0.0403735, 0.979415, 0.979499, 0.0205011
0.232143, 0.138044, 0.0473828, 0.975222, 0.975305, 0.0246949
0.25, 0.138563, 0.0504669, 0.97232, 0.972324, 0.0276765
0.270833, 0.110509, 0.0434576, 0.971057, 0.971098, 0.028902
0.291667, 0.0865497, 0.0364483, 0.968574, 0.96863, 0.03137
0.3125, 0.0656572, 0.029439, 0.965602, 0.965664, 0.0343364
0.333333, 0.0470671, 0.0224297, 0.962436, 0.9625, 0.0375003
0.354167, 0.0302687, 0.0154205, 0.959211, 0.959275, 0.0407249
0.375, 0.0149083, 0.00841115, 0.955992, 0.956056, 0.0439439
0.395833, 0.00073091, 0.00140186, 0.952813, 0.952876, 0.0471239
0.416667, -0.012453, -0.00560744, 0.94969, 0.949752, 0.0502484
0.4375, -0.0247888, -0.0126167, 0.94663, 0.94669, 0.0533097
0.458333, -0.0363904, -0.019626, 0.943636, 0.943695, 0.0563049
0.479167, -0.0473488, -0.0266353, 0.940708, 0.940766, 0.0592337
0.5, -0.0577384, -0.0336446, 0.937846, 0.937902, 0.0620975
0.520833, -0.0676203, -0.0406539, 0.935046, 0.935102, 0.0648985
0.541667, -0.0770458, -0.0476632, 0.932307, 0.932361, 0.0676391
0.5625, -0.0860582, -0.0546725, 0.929625, 0.929678, 0.0703222
0.583333, -0.0946947, -0.0616818, 0.926998, 0.92705, 0.0729504
0.604167, -0.102987, -0.0686911, 0.924422, 0.924473, 0.0755266
0.625, -0.110963, -0.0757004, 0.921897, 0.921947, 0.0780532
0.645833, -0.118647, -0.0827097, 0.919418, 0.919467, 0.0805329
0.666667, -0.126061, -0.089719, 0.916984, 0.917032, 0.0829679
0.6875, -0.133223, -0.0967283, 0.914592, 0.91464, 0.0853605
0.708333, -0.14015, -0.103738, 0.912241, 0.912287, 0.0877127
0.729167, -0.146857, -0.110747, 0.909928, 0.909974, 0.0900265
0.75, -0.119543, -0.104579, 0.909389, 0.909413, 0.0905875
0.771739, -0.0946436, -0.0975694, 0.907801, 0.907839, 0.0921609
0.793478, -0.0731741, -0.0905601, 0.905753, 0.905797, 0.0942034
0.815217, -0.0541946, -0.0835508, 0.903524, 0.903569, 0.096431
0.836957, -0.0371143, -0.0765415, 0.901231, 0.901277, 0.0987231
0.858696, -0.0215387, -0.0695322, 0.898931, 0.898977, 0.101023
0.880435, -0.00719025, -0.0625229, 0.896652, 0.896698, 0.103302
0.902174, 0.00613423, -0.0555136, 0.894408, 0.894453, 0.105547
0.923913, 0.0185885, -0.0485043, 0.892205, 0.892249, 0.107751
0.945652, 0.0302922, -0.041495, 0.890046, 0.890089, 0.109911
0.967391, 0.0413403, -0.0344857, 0.887932, 0.887973, 0.112027
0.98913, 0.0518097, -0.0274764, 0.885861, 0.885902, 0.114098
1.01087, 0.0617637, -0.0204671, 0.883832, 0.883872, 0.116128
1.03261, 0.071255, -0.0134578, 0.881844, 0.881884, 0.118116
1.05435, 0.0803281, -0.00644855, 0.879895, 0.879934, 0.120066
1.07609, 0.0890209, 0.000560744, 0.877983, 0.878021, 0.121979
1.09783, 0.0973661, 0.00757004, 0.876106, 0.876143, 0.123857
1.11957, 0.105392, 0.0145793, 0.874262, 0.874298, 0.125702
1.1413, 0.113123, 0.0215886, 0.872449, 0.872485, 0.127515
1.16304, 0.120581, 0.0285979, 0.870666, 0.870701, 0.129299
1.18478, 0.127786, 0.0356072, 0.868911, 0.868946, 0.131054
1.20652, 0.134754, 0.0426165, 0.867183, 0.867217, 0.132783
1.22826, 0.1415, 0.0496258, 0.86548, 0.865514, 0.134486
1.25, 0.143532, 0.0549529, 0.864038, 0.864038, 0.135962
1.27083, 0.114765, 0.0479436, 0.863566, 0.863586, 0.136414
1.29167, 0.0907077, 0.0409343, 0.862347, 0.862374, 0.137626
1.3125, 0.0698866, 0.033925, 0.860851, 0.860882, 0.139118
1.33333, 0.0514164, 0.0269157, 0.859248, 0.85928, 0.14072
1.35417, 0.0347464, 0.0199064, 0.857609, 0.857642, 0.142358
1.375, 0.0195086, 0.0128971, 0.855969, 0.856001, 0.143999
1.39583, 0.00544367, 0.00588781, 0.854344, 0.854376, 0.145624
1.41667, -0.00763929, -0.00112149, 0.852743, 0.852775, 0.147225
1.4375, -0.0198852, -0.00813078, 0.85117, 0.851201, 0.148799
1.45833, -0.0314073, -0.0151401, 0.849626, 0.849656, 0.150344
1.47917, -0.0422955, -0.0221494, 0.848111, 0.848141, 0.151859
1.5, -0.0526232, -0.0291587, 0.846625, 0.846654, 0.153346
1.52083, -0.0624506, -0.036168, 0.845166, 0.845195, 0.154805
1.54167, -0.0718282, -0.0431773, 0.843734, 0.843763, 0.156237
1.5625, -0.0807988, -0.0501866, 0.842327, 0.842355, 0.157645
1.58333, -0.0893985, -0.0571959, 0.840943, 0.840971, 0.159029
1.60417, -0.0976589, -0.0642051, 0.839582, 0.839609, 0.160391
1.625, -0.105607, -0.0712144, 0.838242, 0.838268, 0.161732
1.64583, -0.113267, -0.0782237, 0.836921, 0.836947, 0.163053
1.66667, -0.12066, -0.085233, 0.835619, 0.835645, 0.164355
1.6875, -0.127804, -0.0922423, 0.834335, 0.83436, 0.16564
1.70833, -0.134717, -0.0992516, 0.833067, 0.833092, 0.166908
1.72917, -0.141412, -0.106261, 0.831815, 0.83184, 0.16816
1.75, -0.144153, -0.111868, 0.830727, 0.830727, 0.169273
1.77, -0.115442, -0.104859, 0.830386, 0.8304, 0.1696
1.79, -0.0915026, -0.0978498, 0.82951, 0.82953, 0.17047
1.81, -0.0707933, -0.0908405, 0.828438, 0.828461, 0.171539
1.83, -0.0524212, -0.0838312, 0.82729, 0.827314, 0.172686
1.85, -0.0358363, -0.0768219, 0.826116, 0.82614, 0.17386
1.87, -0.0206728, -0.0698126, 0.82494, 0.824964, 0.175036
1.89, -0.00667286, -0.0628033, 0.823774, 0.823797, 0.176203
1.91, 0.00635262, -0.055794, 0.822622, 0.822645, 0.177355
1.93, 0.0185474, -0.0487847, 0.821488, 0.821511, 0.178489
1.95, 0.0300234, -0.0417754, 0.820373, 0.820396, 0.179604
1.97, 0.0408702, -0.0347661, 0.819277, 0.819299, 0.180701
1.99, 0.0511602, -0.0277568, 0.818199, 0.818221, 0.181779
2.01, 0.0609533, -0.0207475, 0.817139, 0.81716, 0.18284
2.03, 0.0702994, -0.0137382, 0.816095, 0.816116, 0.183884
2.05, 0.0792409, -0.00672892, 0.815067, 0.815087, 0.184913
2.07, 0.0878138, 0.000280372, 0.814053, 0.814073, 0.185927
2.09, 0.0960493, 0.00728967, 0.813053, 0.813073, 0.186927
2.11, 0.103974, 0.014299, 0.812066, 0.812085, 0.187915
2.13, 0.111613, 0.0213083, 0.81109, 0.81111, 0.18889
2.15, 0.118986, 0.0283176, 0.810126, 0.810145, 0.189855
2.17, 0.126111, 0.0353269, 0.809172, 0.809191, 0.190809
2.19, 0.133005, 0.0423361, 0.808228, 0.808247, 0.191753
2.21, 0.139683, 0.0493454, 0.807293, 0.807312, 0.192688
2.23, 0.146159, 0.0563547, 0.806367, 0.806385, 0.193615
2.25, 0.122242, 0.0515884, 0.806121, 0.806128, 0.193872
2.27083, 0.0972245, 0.0445791, 0.805564, 0.805577, 0.194423
2.29167, 0.0757884, 0.0375698, 0.804825, 0.804841, 0.195159
2.3125, 0.0568867, 0.0305605, 0.804016, 0.804032, 0.195968
2.33333, 0.0398953, 0.0235512, 0.803179, 0.803196, 0.196804
2.35417, 0.0244078, 0.0165419, 0.802336, 0.802353, 0.197647
2.375, 0.0101425, 0.00953264, 0.801496, 0.801513, 0.198487
2.39583, -0.00310513, 0.00252335, 0.800665, 0.800681, 0.199319
2.41667, -0.0154892, -0.00448595, 0.799844, 0.79986, 0.20014
2.4375, -0.0271289, -0.0114952, 0.799034, 0.79905, 0.20095
2.45833, -0.0381188, -0.0185045, 0.798236, 0.798252, 0.201748
2.47917, -0.0485354, -0.0255138, 0.797448, 0.797464, 0.202536
2.5, -0.0584412, -0.0325231, 0.796672, 0.796687, 0.203313
2.52083, -0.0678887, -0.0395324, 0.795904, 0.79592, 0.20408
2.54167, -0.0769218, -0.0465417, 0.795146, 0.795161, 0.204839
2.5625, -0.0855781, -0.053551, 0.794397, 0.794412, 0.205588
2.58333, -0.0938899, -0.0605603, 0.793655, 0.79367, 0.20633
2.60417, -0.101885, -0.0675696, 0.79292, 0.792935, 0.207065
2.625, -0.109588, -0.0745789, 0.792191, 0.792206, 0.207794
2.64583, -0.117021, -0.0815882, 0.791469, 0.791483, 0.208517
2.66667, -0.124202, -0.0885975, 0.790752, 0.790766, 0.209234
2.6875, -0.131148, -0.0956068, 0.790039, 0.790054, 0.209946
2.70833, -0.137875, -0.102616, 0.789332, 0.789346, 0.210654
2.72917, -0.144396, -0.109625, 0.788628, 0.788642, 0.211358
2.75, -0.130162, -0.108784, 0.788311, 0.788314, 0.211686
2.77083, -0.103897, -0.101775, 0.787981, 0.78799, 0.21201
2.79167, -0.0816426, -0.0947657, 0.787477, 0.787488, 0.212512
2.8125, -0.0621553, -0.0877564, 0.786907, 0.786919, 0.213081
2.83333, -0.0447207, -0.0807471, 0.786311, 0.786323, 0.213677
2.85417, -0.0288844, -0.0737378, 0.785705, 0.785717, 0.214283
