Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.00880415, 0, 0.999982, 0.999982, 1.79175e-05
0.0125, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.025, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0375, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.05, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0625, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.075, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0875, 0.0302191, 0.00532706, 0.998769, 0.998817, 0.00118319
0.1, 0.0542339, 0.0123364, 0.995733, 0.995803, 0.0041973
0.1125, 0.0749528, 0.0193457, 0.991955, 0.992034, 0.00796568
0.125, 0.0932177, 0.026355, 0.987858, 0.987942, 0.012058
0.1375, 0.109584, 0.0333642, 0.983645, 0.983729, 0.0162708
0.15, 0.124435, 0.0403735, 0.979415, 0.979499, 0.0205011
0.1625, 0.138044, 0.0473828, 0.975222, 0.975305, 0.0246949
0.175, 0.150613, 0.0543921, 0.971095, 0.971177, 0.0288231
0.1875, 0.162297, 0.0614014, 0.96705, 0.96713, 0.0328704
0.2, 0.173216, 0.0684107, 0.963092, 0.963171, 0.0368294
0.2125, 0.183467, 0.07542, 0.959227, 0.959303, 0.040697
0.225, 0.193128, 0.0824293, 0.955452, 0.955527, 0.0444729
0.2375, 0.202263, 0.0894386, 0.951769, 0.951842, 0.0481582
0.25, 0.189399, 0.0885975, 0.950118, 0.950133, 0.0498673
0.261111, 0.162746, 0.0815882, 0.948639, 0.948679, 0.0513212
0.272222, 0.13965, 0.0745789, 0.946349, 0.946398, 0.0536015
0.283333, 0.11933, 0.0675696, 0.943742, 0.943796, 0.0562042
0.294444, 0.101122, 0.0605603, 0.941019, 0.941074, 0.0589259
0.305556, 0.084575, 0.053551, 0.938271, 0.938326, 0.0616743
0.316667, 0.0693738, 0.0465417, 0.935541, 0.935595, 0.0644047
0.327778, 0.0552883, 0.0395324, 0.932852, 0.932905, 0.0670949
0.338889, 0.0421456, 0.0325231, 0.930213, 0.930265, 0.0697345
0.35, 0.0298125, 0.0255138, 0.92763, 0.927681, 0.072319
0.361111, 0.0181834, 0.0185045, 0.925103, 0.925153, 0.0748471
0.372222, 0.00717345, 0.0114952, 0.922631, 0.92268, 0.0773197
0.383333, -0.00328673, 0.00448595, 0.920214, 0.920262, 0.0797384
0.394444, -0.0132549, -0.00252335, 0.917848, 0.917895, 0.0821054
0.405556, -0.0227794, -0.00953264, 0.915531, 0.915577, 0.084423
0.416667, -0.0319015, -0.0165419, 0.913261, 0.913306, 0.0866939
0.427778, -0.0406565, -0.0235512, 0.911035, 0.911079, 0.0889206
0.438889, -0.049075, -0.0305605, 0.908851, 0.908895, 0.0911053
0.45, -0.0571834, -0.0375698, 0.906707, 0.90675, 0.0932504
0.461111, -0.0650052, -0.0445791, 0.9046, 0.904642, 0.0953581
0.472222, -0.0725609, -0.0515884, 0.902528, 0.90257, 0.0974304
0.483333, -0.079869, -0.0585977, 0.90049, 0.900531, 0.0994693
0.494444, -0.0869456, -0.065607, 0.898484, 0.898524, 0.101476
0.505556, -0.0938054, -0.0726163, 0.896507, 0.896546, 0.103454
0.516667, -0.100462, -0.0796256, 0.894559, 0.894598, 0.105402
0.527778, -0.106926, -0.0866349, 0.892638, 0.892676, 0.107324
0.538889, -0.11321, -0.0936442, 0.890743, 0.890781, 0.109219
0.55, -0.119322, -0.100653, 0.888872, 0.888909, 0.111091
0.561111, -0.125273, -0.107663, 0.887024, 0.887061, 0.112939
0.572222, -0.131069, -0.114672, 0.885199, 0.885235, 0.114765
0.583333, -0.13672, -0.121681, 0.883395, 0.883431, 0.116569
0.594444, -0.142231, -0.128691, 0.881611, 0.881646, 0.118354
0.605556, -0.147609, -0.1357, 0.879846, 0.879881, 0.120119
0.616667, -0.15286, -0.142709, 0.8781, 0.878135, 0.121865
0.627778, -0.15799, -0.149719, 0.876372, 0.876406, 0.123594
0.638889, -0.163004, -0.156728, 0.874661, 0.874695, 0.125305
0.65, -0.167907, -0.163737, 0.872966, 0.873, 0.127
0.661111, -0.172702, -0.170746, 0.871288, 0.871321, 0.128679
0.672222, -0.177263, -0.177756, 0.869624, 0.869657, 0.130343
0.683333, -0.181703, -0.184765, 0.867975, 0.868008, 0.131992
0.694444, -0.186046, -0.191774, 0.86634, 0.866373, 0.133627
0.705556, -0.190299, -0.198784, 0.864719, 0.864751, 0.135249
0.716667, -0.194463, -0.205793, 0.863111, 0.863143, 0.136857
0.727778, -0.198541, -0.212802, 0.861516, 0.861548, 0.138452
0.738889, -0.202537, -0.219812, 0.859934, 0.859965, 0.140035
0.75, -0.202963, -0.225419, 0.858554, 0.858554, 0.141446
0.760638, -0.17428, -0.21841, 0.858089, 0.858107, 0.141893
0.771277, -0.150157, -0.2114, 0.856925, 0.856952, 0.143048
0.781915, -0.129195, -0.204391, 0.855509, 0.855539, 0.144461
0.792553, -0.110547, -0.197382, 0.853996, 0.854027, 0.145973
0.803191, -0.0936794, -0.190372, 0.852452, 0.852483, 0.147517
0.81383, -0.0782349, -0.183363, 0.85091, 0.85094, 0.14906
0.824468, -0.0639584, -0.176354, 0.849383, 0.849413, 0.150587
0.835106, -0.0506619, -0.169345, 0.84788, 0.847909, 0.152091
0.845745, -0.0382022, -0.162335, 0.846403, 0.846432, 0.153568
0.856383, -0.0264671, -0.155326, 0.844954, 0.844983, 0.155017
0.867021, -0.0153672, -0.148317, 0.843533, 0.843561, 0.156439
0.87766, -0.00482963, -0.141307, 0.842138, 0.842166, 0.157834
0.888298, 0.00520589, -0.134298, 0.840769, 0.840796, 0.159204
0.898936, 0.0147896, -0.127289, 0.839424, 0.839451, 0.160549
0.909574, 0.0239643, -0.12028, 0.838103, 0.838129, 0.161871
0.920213, 0.0327662, -0.11327, 0.836802, 0.836828, 0.163172
0.930851, 0.0412268, -0.106261, 0.835522, 0.835547, 0.164453
0.941489, 0.0493735, -0.0992516, 0.83426, 0.834285, 0.165715
0.952128, 0.0572301, -0.0922423, 0.833016, 0.833041, 0.166959
0.962766, 0.0648177, -0.085233, 0.831789, 0.831813, 0.168187
0.973404, 0.072155, -0.0782237, 0.830577, 0.830601, 0.169399
0.984043, 0.0792587, -0.0712144, 0.829379, 0.829403, 0.170597
0.994681, 0.0861437, -0.0642051, 0.828195, 0.828219, 0.171781
1.00532, 0.0928233, -0.0571959, 0.827024, 0.827047, 0.172953
1.01596, 0.0993097, -0.0501866, 0.825864, 0.825887, 0.174113
1.0266, 0.105614, -0.0431773, 0.824716, 0.824739, 0.175261
1.03723, 0.111746, -0.036168, 0.823578, 0.823601, 0.176399
1.04787, 0.117714, -0.0291587, 0.82245, 0.822472, 0.177528
1.05851, 0.123528, -0.0221494, 0.821331, 0.821354, 0.178646
1.06915, 0.129195, -0.0151401, 0.820221, 0.820244, 0.179756
1.07979, 0.134722, -0.00813078, 0.81912, 0.819142, 0.180858
1.09043, 0.140115, -0.00112149, 0.818026, 0.818048, 0.181952
1.10106, 0.145381, 0.00588781, 0.81694, 0.816961, 0.183039
1.1117, 0.150524, 0.0128971, 0.81586, 0.815882, 0.184118
1.12234, 0.155551, 0.0199064, 0.814788, 0.814809, 0.185191
1.13298, 0.160466, 0.0269157, 0.813722, 0.813743, 0.186257
1.14362, 0.165274, 0.033925, 0.812661, 0.812682, 0.187318
1.15426, 0.169979, 0.0409343, 0.811607, 0.811628, 0.188372
1.16489, 0.174584, 0.0479436, 0.810558, 0.810579, 0.189421
1.17553, 0.179094, 0.0549529, 0.809514, 0.809535, 0.190465
1.18617, 0.183512, 0.0619622, 0.808476, 0.808496, 0.191504
1.19681, 0.187841, 0.0689715, 0.807442, 0.807462, 0.192538
1.20745, 0.192084, 0.0759808, 0.806413, 0.806433, 0.193567
1.21809, 0.196245, 0.0829901, 0.805388, 0.805409, 0.194591
1.22872, 0.200326, 0.0899994, 0.804368, 0.804388, 0.195612
1.23936, 0.204329, 0.0970087, 0.803352, 0.803372, 0.196628
1.25, 0.189168, 0.0961675, 0.802885, 0.80289, 0.19711
1.26064, 0.163025, 0.0891582, 0.80239, 0.802403, 0.197597
1.27128, 0.140726, 0.0821489, 0.801652, 0.801668, 0.198332
1.28191, 0.121119, 0.0751397, 0.800824, 0.800841, 0.199159
1.29255, 0.103529, 0.0681304, 0.799963, 0.79998, 0.20002
1.30319, 0.0875171, 0.0611211, 0.799092, 0.79911, 0.20089
1.31383, 0.0727829, 0.0541118, 0.798225, 0.798242, 0.201758
1.32447, 0.0591088, 0.0471025, 0.797366, 0.797384, 0.202616
1.33511, 0.0463321, 0.0400932, 0.796519, 0.796536, 0.203464
1.34574, 0.0343271, 0.0330839, 0.795684, 0.795701, 0.204299
1.35638, 0.0229944, 0.0260746, 0.794861, 0.794878, 0.205122
1.36702, 0.0122541, 0.0190653, 0.79405, 0.794066, 0.205934
1.37766, 0.00204042, 0.012056, 0.79325, 0.793266, 0.206734
1.3883, -0.00770108, 0.00504669, 0.792461, 0.792477, 0.207523
1.39894, -0.0170163, -0.0019626, 0.791681, 0.791697, 0.208303
1.40957, -0.0259443, -0.0089719, 0.79091, 0.790926, 0.209074
1.42021, -0.0345186, -0.0159812, 0.790147, 0.790162, 0.209838
1.43085, -0.0427682, -0.0229905, 0.789391, 0.789407, 0.210593
1.44149, -0.0507185, -0.0299998, 0.788642, 0.788657, 0.211343
1.45213, -0.0583917, -0.0370091, 0.787899, 0.787914, 0.212086
1.46277, -0.0658074, -0.0440184, 0.787161, 0.787176, 0.212824
1.4734, -0.0729832, -0.0510277, 0.786428, 0.786443, 0.213557
1.48404, -0.0799347, -0.058037, 0.785699, 0.785714, 0.214286
1.49468, -0.0866758, -0.0650463, 0.784974, 0.784988, 0.215012
1.50532, -0.0932192, -0.0720556, 0.784252, 0.784266, 0.215734
1.51596, -0.0995764, -0.0790649, 0.783533, 0.783548, 0.216452
1.5266, -0.105758, -0.0860742, 0.782817, 0.782831, 0.217169
1.53723, -0.111773, -0.0930834, 0.782103, 0.782117, 0.217883
1.54787, -0.11763, -0.100093, 0.781391, 0.781405, 0.218595
1.55851, -0.123337, -0.107102, 0.780681, 0.780695, 0.219305
1.56915, -0.128902, -0.114111, 0.779972, 0.779986, 0.220014
1.57979, -0.134331, -0.121121, 0.779265, 0.779279, 0.220721
1.59043, -0.13963, -0.12813, 0.778559, 0.778573, 0.221427
1.60106, -0.144805, -0.135139, 0.777853, 0.777867, 0.222133
1.6117, -0.149862, -0.142149, 0.777148, 0.777162, 0.222838
1.62234, -0.154806, -0.149158, 0.776444, 0.776458, 0.223542
1.63298, -0.159641, -0.156167, 0.775741, 0.775755, 0.224245
1.64362, -0.164371, -0.163176, 0.775037, 0.775051, 0.224949
1.65426, -0.169, -0.170186, 0.774334, 0.774348, 0.225652
1.66489, -0.173533, -0.177195, 0.773631, 0.773645, 0.226355
1.67553, -0.177973, -0.184204, 0.772929, 0.772943, 0.227057
1.68617, -0.182323, -0.191214, 0.772226, 0.77224, 0.22776
1.69681, -0.186586, -0.198223, 0.771523, 0.771537, 0.228463
1.70745, -0.190766, -0.205232, 0.77082, 0.770834, 0.229166
1.71809, -0.194865, -0.212241, 0.770118, 0.770132, 0.229868
1.72872, -0.198886, -0.219251, 0.769415, 0.769429, 0.230571
1.73936, -0.202828, -0.22626, 0.768712, 0.768726, 0.231274
1.75, -0.201723, -0.231307, 0.768121, 0.768122, 0.231878
1.76042, -0.173486, -0.224297, 0.767969, 0.767975, 0.232025
1.77083, -0.149846, -0.217288, 0.767599, 0.767607, 0.232393
1.78125, -0.129313, -0.210279, 0.767152, 0.767162, 0.232838
1.79167, -0.111041, -0.20327, 0.766676, 0.766685, 0.233315
1.80208, -0.0945057, -0.19626, 0.766187, 0.766197, 0.233803
1.8125, -0.0793572, -0.189251, 0.765696, 0.765706, 0.234294
1.82292, -0.0653476, -0.182242, 0.765206, 0.765216, 0.234784
1.83333, -0.052294, -0.175232, 0.76472, 0.764729, 0.235271
1.84375, -0.0400571, -0.168223, 0.764236, 0.764246, 0.235754
1.85417, -0.0285278, -0.161214, 0.763757, 0.763767, 0.236233
1.86458, -0.0176191, -0.154205, 0.763281, 0.76329, 0.23671
1.875, -0.00726009, -0.147195, 0.762808, 0.762817, 0.237183
1.88542, 0.00260787, -0.140186, 0.762337, 0.762347, 0.237653
1.89583, 0.0120338, -0.133177, 0.761869, 0.761878, 0.238122
1.90625, 0.0210592, -0.126167, 0.761401, 0.761411, 0.238589
1.91667, 0.0297196, -0.119158, 0.760935, 0.760945, 0.239055
1.92708, 0.0380457, -0.112149, 0.76047, 0.760479, 0.239521
1.9375, 0.0460641, -0.105139, 0.760005, 0.760014, 0.239986
1.94792, 0.0537981, -0.0981301, 0.759539, 0.759549, 0.240451
1.95833, 0.0612684, -0.0911208, 0.759074, 0.759083, 0.240917
1.96875, 0.0684931, -0.0841115, 0.758607, 0.758616, 0.241384
1.97917, 0.0754887, -0.0771023, 0.758139, 0.758148, 0.241852
1.98958, 0.0822695, -0.070093, 0.75767, 0.757679, 0.242321
2, 0.0888488, -0.0630837, 0.757199, 0.757209, 0.242791
2.01042, 0.0952384, -0.0560744, 0.756727, 0.756736, 0.243264
2.02083, 0.101449, -0.0490651, 0.756253, 0.756262, 0.243738
2.03125, 0.10749, -0.0420558, 0.755776, 0.755786, 0.244214
2.04167, 0.113371, -0.0350465, 0.755298, 0.755307, 0.244693
2.05208, 0.1191, -0.0280372, 0.754817, 0.754827, 0.245173
2.0625, 0.124685, -0.0210279, 0.754334, 0.754344, 0.245656
2.07292, 0.130132, -0.0140186, 0.753848, 0.753858, 0.246142
2.08333, 0.135447, -0.0070093, 0.75336, 0.75337, 0.24663
2.09375, 0.140637, -4.65868e-19, 0.752869, 0.752879, 0.247121
2.10417, 0.145707, 0.0070093, 0.752375, 0.752385, 0.247615
2.11458, 0.150662, 0.0140186, 0.751879, 0.751889, 0.248111
2.125, 0.155508, 0.0210279, 0.75138, 0.75139, 0.24861
2.13542, 0.160247, 0.0280372, 0.750879, 0.750889, 0.249111
2.14583, 0.164885, 0.0350465, 0.750374, 0.750384, 0.249616
2.15625, 0.169426, 0.0420558, 0.749867, 0.749877, 0.250123
2.16667, 0.173872, 0.0490651, 0.749357, 0.749368, 0.250632
2.17708, 0.178228, 0.0560744, 0.748845, 0.748855, 0.251145
2.1875, 0.182497, 0.0630837, 0.74833, 0.74834, 0.25166
2.19792, 0.186681, 0.070093, 0.747812, 0.747822, 0.252178
2.20833, 0.190784, 0.0771023, 0.747291, 0.747302, 0.252698
2.21875, 0.194809, 0.0841115, 0.746768, 0.746779, 0.253221
2.22917, 0.198757, 0.0911208, 0.746243, 0.746253, 0.253747
2.23958, 0.202631, 0.0981301, 0.745715, 0.745725, 0.254275
2.25, 0.202996, 0.103738, 0.745249, 0.745249, 0.254751
2.2602, 0.174801, 0.0967283, 0.745166, 0.745169, 0.254831
2.27041, 0.151231, 0.089719, 0.744963, 0.744967, 0.255033
2.28061, 0.130777, 0.0827097, 0.744716, 0.744721, 0.255279
2.29082, 0.112585, 0.0757004, 0.74445, 0.744456, 0.255544
2.30102, 0.0961295, 0.0686911, 0.744176, 0.744182, 0.255818
2.31122, 0.0810584, 0.0616818, 0.743898, 0.743904, 0.256096
2.32143, 0.0671235, 0.0546725, 0.743618, 0.743624, 0.256376
2.33163, 0.0541418, 0.0476632, 0.743337, 0.743342, 0.256658
2.34184, 0.0419741, 0.0406539, 0.743054, 0.74306, 0.25694
2.35204, 0.0305115, 0.0336446, 0.742771, 0.742776, 0.257224
2.36224, 0.019667, 0.0266353, 0.742486, 0.742491, 0.257509
2.37245, 0.00936983, 0.019626, 0.742199, 0.742204, 0.257796
2.38265, -0.000438401, 0.0126167, 0.741909, 0.741915, 0.258085
2.39286, -0.00980662, 0.00560744, 0.741618, 0.741624, 0.258376
2.40306, -0.0187762, -0.00140186, 0.741324, 0.741329, 0.258671
2.41327, -0.0273826, -0.00841115, 0.741026, 0.741032, 0.258968
2.42347, -0.0356563, -0.0154205, 0.740725, 0.740732, 0.259268
2.43367, -0.0436239, -0.0224297, 0.740421, 0.740427, 0.259573
2.44388, -0.0513087, -0.029439, 0.740113, 0.740119, 0.259881
2.45408, -0.058731, -0.0364483, 0.739801, 0.739808, 0.260192
2.46429, -0.0659092, -0.0434576, 0.739485, 0.739492, 0.260508
2.47449, -0.0728594, -0.0504669, 0.739165, 0.739172, 0.260828
2.48469, -0.0795962, -0.0574762, 0.738841, 0.738847, 0.261153
2.4949, -0.0861325, -0.0644855, 0.738512, 0.738519, 0.261481
2.5051, -0.0924801, -0.0714948, 0.738179, 0.738186, 0.261814
2.51531, -0.0986498, -0.0785041, 0.737841, 0.737848, 0.262152
2.52551, -0.104651, -0.0855134, 0.737499, 0.737506, 0.262494
2.53571, -0.110493, -0.0925227, 0.737152, 0.737159, 0.262841
2.54592, -0.116184, -0.099532, 0.7368, 0.736807, 0.263193
2.55612, -0.121732, -0.106541, 0.736444, 0.736451, 0.263549
2.56633, -0.127142, -0.113551, 0.736083, 0.73609, 0.26391
2.57653, -0.132422, -0.12056, 0.735718, 0.735725, 0.264275
2.58673, -0.137577, -0.127569, 0.735347, 0.735355, 0.264645
2.59694, -0.142613, -0.134578, 0.734973, 0.73498, 0.26502
2.60714, -0.147535, -0.141588, 0.734593, 0.734601, 0.265399
2.61735, -0.152347, -0.148597, 0.73421, 0.734217, 0.265783
2.62755, -0.157055, -0.155606, 0.733821, 0.733829, 0.266171
2.63776, -0.161662, -0.162616, 0.733429, 0.733437, 0.266563
2.64796, -0.166171, -0.169625, 0.733032, 0.73304, 0.26696
2.65816, -0.170588, -0.176634, 0.73263, 0.732638, 0.267362
2.66837, -0.174914, -0.183644, 0.732224, 0.732233, 0.267767
2.67857, -0.179154, -0.190653, 0.731815, 0.731823, 0.268177
2.68878, -0.183309, -0.197662, 0.731401, 0.731409, 0.268591
2.69898, -0.187384, -0.204671, 0.730983, 0.730991, 0.269009
2.70918, -0.191381, -0.211681, 0.730561, 0.730569, 0.269431
2.71939, -0.195302, -0.21869, 0.730135, 0.730143, 0.269857
2.72959, -0.19915, -0.225699, 0.729705, 0.729714, 0.270286
2.7398, -0.202918, -0.232709, 0.729272, 0.729281, 0.270719
2.75, -0.202394, -0.238036, 0.728897, 0.728897, 0.271103
2.76, -0.174559, -0.231026, 0.728847, 0.728849, 0.271151
2.77, -0.151278, -0.224017, 0.728734, 0.728737, 0.271263
2.78, -0.131057, -0.217008, 0.728597, 0.7286, 0.2714
2.79, -0.113061, -0.209999, 0.728449, 0.728452, 0.271548
2.8, -0.0967762, -0.202989, 0.728294, 0.728297, 0.271703
2.81, -0.0818562, -0.19598, 0.728135, 0.728138, 0.271862
2.82, -0.0680575, -0.188971, 0.727971, 0.727975, 0.272025
2.83, -0.0552001, -0.181961, 0.727805, 0.727808, 0.272192
2.84, -0.0431469, -0.174952, 0.727634, 0.727638, 0.272362
2.85, -0.0317906, -0.167943, 0.72746, 0.727463, 0.272537
2.86, -0.0210455, -0.160933, 0.727281, 0.727284, 0.272716
2.87, -0.0108416, -0.153924, 0.727098, 0.727101, 0.272899
2.88, -0.00112145, -0.146915, 0.72691, 0.726913, 0.273087
2.89, 0.00816335, -0.139906, 0.726717, 0.726721, 0.273279
2.9, 0.0170537, -0.132896, 0.726519, 0.726523, 0.273477
2.91, 0.0255845, -0.125887, 0.726315, 0.726319, 0.273681
2.92, 0.033786, -0.118878, 0.726106, 0.72611, 0.27389
2.93, 0.0416844, -0.111868, 0.725892, 0.725896, 0.274104
2.94, 0.0493028, -0.104859, 0.725671, 0.725676, 0.274324
2.95, 0.0566613, -0.0978498, 0.725445, 0.72545, 0.27455
2.96, 0.063778, -0.0908405, 0.725213, 0.725218, 0.274782
2.97, 0.0706689, -0.0838312, 0.724975, 0.72498, 0.27502
2.98, 0.0773483, -0.0768219, 0.724732, 0.724737, 0.275263
2.99, 0.0838292, -0.0698126, 0.724482, 0.724487, 0.275513
3, 0.0901232, -0.0628033, 0.724226, 0.724231, 0.275769
3.01, 0.0962409, -0.055794, 0.723964, 0.72397, 0.27603
3.02, 0.102192, -0.0487847, 0.723697, 0.723702, 0.276298
3.03, 0.107985, -0.0417754, 0.723423, 0.723429, 0.276571
3.04, 0.113628, -0.0347661, 0.723143, 0.723149, 0.276851
3.05, 0.119129, -0.0277568, 0.722858, 0.722864, 0.277136
3.06, 0.124494, -0.0207475, 0.722567, 0.722573, 0.277427
3.07, 0.12973, -0.0137382, 0.72227, 0.722276, 0.277724
3.08, 0.134843, -0.00672892, 0.721967, 0.721973, 0.278027
3.09, 0.139837, 0.000280372, 0.721658, 0.721665, 0.278335
3.1, 0.144718, 0.00728967, 0.721344, 0.721351, 0.278649
3.11, 0.149491, 0.014299, 0.721025, 0.721031, 0.278969
3.12, 0.15416, 0.0213083, 0.7207, 0.720706, 0.279294
3.13, 0.158728, 0.0283176, 0.720369, 0.720376, 0.279624
3.14, 0.163201, 0.0353269, 0.720033, 0.72004, 0.27996
3.15, 0.167581, 0.0423361, 0.719692, 0.719699, 0.280301
3.16, 0.171872, 0.0493454, 0.719346, 0.719353, 0.280647
3.17, 0.176077, 0.0563547, 0.718995, 0.719002, 0.280998
3.18, 0.180198, 0.063364, 0.718639, 0.718646, 0.281354
3.19, 0.18424, 0.0703733, 0.718278, 0.718286, 0.281714
3.2, 0.188204, 0.0773826, 0.717913, 0.71792, 0.28208
3.21, 0.192093, 0.0843919, 0.717543, 0.71755, 0.28245
3.22, 0.195909, 0.0914012, 0.717168, 0.717175, 0.282825
3.23, 0.199656, 0.0984105, 0.716789, 0.716796, 0.283204
3.24, 0.20323, 0.10542, 0.716405, 0.716413, 0.283587
3.25, 0.199944, 0.109625, 0.716103, 0.716103, 0.283897
3.2598, 0.172597, 0.102616, 0.716074, 0.716075, 0.283925
3.26961, 0.149681, 0.0956068, 0.716011, 0.716012, 0.283988
3.27941, 0.129748, 0.0885975, 0.715934, 0.715936, 0.284064
3.28922, 0.111992, 0.0815882, 0.71585, 0.715852, 0.284148
3.29902, 0.0959122, 0.0745789, 0.715761, 0.715763, 0.284237
3.30882, 0.0811734, 0.0675696, 0.715667, 0.715669, 0.284331
3.31863, 0.0675369, 0.0605603, 0.715568, 0.71557, 0.28443
3.32843, 0.0548267, 0.053551, 0.715464, 0.715466, 0.284534
3.33824, 0.0429085, 0.0465417, 0.715355, 0.715357, 0.284643
3.34804, 0.031677, 0.0395324, 0.71524, 0.715242, 0.284758
3.35784, 0.0210481, 0.0325231, 0.71512, 0.715122, 0.284878
3.36765, 0.0109531, 0.0255138, 0.714993, 0.714996, 0.285004
