Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.00880415, 0, 0.999982, 0.999982, 1.79175e-05
0.00675676, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0135135, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0202703, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.027027, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0337838, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0405405, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0472973, 0.0302191, 0.00532706, 0.998769, 0.998817, 0.00118319
0.0540541, 0.0542339, 0.0123364, 0.995733, 0.995803, 0.0041973
0.0608108, 0.0749528, 0.0193457, 0.991955, 0.992034, 0.00796568
0.0675676, 0.0932177, 0.026355, 0.987858, 0.987942, 0.012058
0.0743243, 0.109584, 0.0333642, 0.983645, 0.983729, 0.0162708
0.0810811, 0.124435, 0.0403735, 0.979415, 0.979499, 0.0205011
0.0878378, 0.138044, 0.0473828, 0.975222, 0.975305, 0.0246949
0.0945946, 0.150613, 0.0543921, 0.971095, 0.971177, 0.0288231
0.101351, 0.162297, 0.0614014, 0.96705, 0.96713, 0.0328704
0.108108, 0.173216, 0.0684107, 0.963092, 0.963171, 0.0368294
0.114865, 0.183467, 0.07542, 0.959227, 0.959303, 0.040697
0.121622, 0.193128, 0.0824293, 0.955452, 0.955527, 0.0444729
0.128378, 0.202263, 0.0894386, 0.951769, 0.951842, 0.0481582
0.135135, 0.210925, 0.0964479, 0.948174, 0.948245, 0.0517551
0.141892, 0.21916, 0.103457, 0.944665, 0.944734, 0.0552661
0.148649, 0.227008, 0.110467, 0.941238, 0.941306, 0.058694
0.155405, 0.2345, 0.117476, 0.937892, 0.937958, 0.0620417
0.162162, 0.241666, 0.124485, 0.934623, 0.934688, 0.0653122
0.168919, 0.248531, 0.131494, 0.931429, 0.931492, 0.0685083
